Date,Crude Oil,Brent Oil,Natural Gas,Gold,Silver,Copper
2020-12-02,44.37,48.25,2.780,1854.60,24.066,3.4885
2020-12-01,44.17,47.42,2.880,1844.60,24.080,3.4940
2020-11-30,44.92,47.59,2.882,1807.20,22.583,3.4465
2020-11-27,45.18,48.18,2.843,1814.80,22.614,3.4240
2020-11-26,44.98,47.80,2.930,1807.00,23.215,3.3478
2020-11-25,45.25,48.61,2.896,1837.50,23.387,3.3450
2020-11-24,44.56,47.86,2.775,1839.00,23.330,3.3295
2020-11-23,43.76,46.06,2.711,1872.70,23.675,3.2915
2020-11-20,43.52,44.96,2.650,1906.30,24.406,3.3175
2020-11-19,43.29,44.20,2.592,1895.30,24.085,3.2380
2020-11-18,43.58,44.34,2.712,1907.10,24.480,3.2320
2020-11-17,43.27,43.75,2.692,1920.90,24.686,3.2325
2020-11-16,43.28,43.82,2.697,1924.80,24.837,3.2495
2020-11-13,42.70,42.78,2.995,1925.90,24.818,3.2040
